Recordid	Address	Date_Time	Status	Heater	Warning	Protection	ErrorCode	CycleNum	Current_I	MAX_Current	Total_Voltage	SOC	SOH	Temp_PCB	Temp_internal	Temp_MAX	Temp01	Temp02	Temp03	Temp04	Vol_Cell01	Vol_Cell02	Vol_Cell03	Vol_Cell04	Vol_Cell05	Vol_Cell06	Vol_Cell07	Vol_Cell08	Vol_Cell09	Vol_Cell10	Vol_Cell11	Vol_Cell12	Vol_Cell13	Vol_Cell14	Vol_Cell15	Vol_Cell16	Capacity	Remaining	Battery_Mode	BMS_Version	BMS_ISDN
1	COM6_16	2026-01-21 13:50:24	Stand by	Off	0000	0000	0000	0	0,000	100	54,640	100	100	23	24	23	23	23	23	23	3,643	3,638	3,656	3,657	3,649	3,639	3,636	3,628	3,617	3,646	3,646	3,641	3,655	3,648	3,641	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
2	COM6_16	2026-01-21 13:50:27	Stand by	Off	0000	0000	0000	0	0,000	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,637	3,656	3,657	3,649	3,639	3,636	3,627	3,617	3,646	3,646	3,641	3,655	3,648	3,641	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
3	COM6_16	2026-01-21 13:50:29	Stand by	Off	0000	0000	0000	0	0,000	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,636	3,656	3,656	3,648	3,639	3,636	3,627	3,617	3,645	3,645	3,641	3,655	3,647	3,639	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
4	COM6_16	2026-01-21 13:50:32	Stand by	Off	0000	0000	0000	0	0,000	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,636	3,656	3,656	3,649	3,639	3,636	3,627	3,617	3,645	3,645	3,641	3,655	3,648	3,640	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
5	COM6_16	2026-01-21 13:50:34	Stand by	Off	0000	0000	0000	0	0,000	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,637	3,656	3,656	3,649	3,639	3,636	3,627	3,617	3,645	3,646	3,641	3,655	3,648	3,639	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
6	COM6_16	2026-01-21 13:50:37	Stand by	Off	0000	0000	0000	0	0,000	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,637	3,656	3,656	3,649	3,639	3,636	3,627	3,617	3,645	3,645	3,641	3,655	3,648	3,641	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
7	COM6_16	2026-01-21 13:50:39	Stand by	Off	0000	0000	0000	0	0,000	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,637	3,656	3,657	3,649	3,639	3,636	3,628	3,617	3,646	3,646	3,641	3,655	3,648	3,641	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
8	COM6_16	2026-01-21 13:50:42	Discharging	Off	0000	0000	0000	0	-12,780	100	54,630	100	100	23	24	23	23	23	23	23	3,643	3,637	3,656	3,657	3,649	3,639	3,636	3,628	3,617	3,646	3,646	3,641	3,655	3,648	3,641	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
9	COM6_16	2026-01-21 13:50:44	Discharging	Off	0000	0000	0000	0	-10,200	100	54,350	100	100	23	24	23	23	23	23	23	3,624	3,618	3,636	3,637	3,629	3,621	3,617	3,609	3,596	3,627	3,627	3,625	3,638	3,630	3,622	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
10	COM6_16	2026-01-21 13:50:47	Discharging	Off	0000	0000	0000	0	-8,010	100	53,900	100	100	23	24	23	23	23	23	23	3,592	3,586	3,605	3,607	3,599	3,590	3,588	3,582	3,568	3,596	3,597	3,593	3,605	3,601	3,594	0,000	100	100	LL15S100P10G1-V2-Anti-Tf	U06C30	0000000825571639
